Station,Band Size,Bander,Recorder,Capture,Res vs Mig,Time,Net,Band #,Species,Chord,Flat Wing,Tail,Fat,BP,CP,B-molt,P-molt,S-molt,T-molt,Skull,Age,How aged,How aged,Sex,How sexed,How sexed,Weight,Month,Day,Year,Culmen,Bill Width,Notes
BARR,1A,,,1,m,745,9,0901-34502,GRCA,88,,92,1,0,0,Y,N,N,N,1,2,13,,U,,,34,10,7,1989,,,EYE COLOR = SMITH 132A
BARR,1A,,,1,m,745,1,0901-34503,GRCA,88,,91,1,0,0,Y,N,N,N,2,2,2,,U,,,35.4,10,28,1989,,,
BARR,1A,,,1,m,655,4,0901-34504,GRCA,88,,90,2,0,0,Y,N,N,N,1,2,23,,U,,,35.5,9,5,1990,,,
BARR,1A,,,1,m,810,4,0901-34505,YBCH,76,,83,0,0,0,N,N,N,N,0,2,12,,F,17,,25.5,9,8,1990,,,"JVL=SPONS., PRIM GROUPS =6MM, BILL LT GRAY, MOUTH PINK"
BARR,1A,,,1,m,850,5,0901-34506,YBCH,81,,82,0,0,0,N,N,N,N,1,2,2,,U,,,23,9,8,1990,,,
BARR,1A,,,1,m,650,6,0901-34507,GTTO,75,,83,2,,,N,N,N,N,0,2,23,,U,,,31.4,9,12,1990,,,
BARR,1A,,,1,m,650,4,0901-34508,GTTO,77,,85,2,,,Y,9,N,N,3,1,2,,U,,,30.2,9,15,1990,,,BR EDGED TERTS & INNER SEC COV; SY?
BARR,1A,,,1,m,1045,7,0901-34509,SPTO,83,,95,1,,,N,N,N,N,,0,,,M,P,,35.9,9,22,1990,,,ORANGE EYE
BARR,1A,,,1,m,825,6,0901-34510,GTTO,72,,78,2,,,N,N,N,N,3,1,2,,U,,,30,9,26,1990,,,
BARR,1A,,,1,m,740,4,0901-34511,GRCA,87,,89,1,,,Y,N,N,N,1,2,2,,U,,,,10,17,1990,,,TOO WINDY FOR WEIGHT
BARR,1A,,,1,m,815,9,0901-34512,YBCH,71,,71,3,,,N,N,N,N,1,2,2,,F,74,,27.7,9,1,1991,,,
BARR,1A,,,1,m,735,10,0901-34513,BHGR,98,,80,3,,,N,N,N,N,,2,H,,F,P,,,9,10,1991,,,
BARR,1A,,,1,m,735,10,0901-34514,BHGR,99,,83,1,,,N,N,N,N,,2,H,,F,P,,,9,10,1991,,,
BARR,1A,,,1,m,810,5,0901-34515,GTTO,74,,84,1,,,N,N,N,N,1,2,2,,U,,,27.3,9,15,1991,,,SPONSOR = JVL
BARR,1A,,,1,m,740,4,0901-34516,SPTO,84,,98,0,,,Y,N,N,N,1,1,21,,M,P,,37.7,9,28,1991,,,
BARR,R,,,R,m,800,6,0901-34516,SPTO,83,,93,2,0,0,N,N,N,N,3,1,2,,M,1,,39.6,10,3,1990,,,"SK=3, MC & IH. PREVIOUS SKULLING WRONG, PROB SY"
BARR,R,,,R,m,800,6,0901-34516,SPTO,83,,93,2,0,0,N,N,N,N,3,1,2,,M,P,,39.6,10,3,1990,,,"SK=3, MC & IH. PREVIOUS SKULLING WRONG, PROB SY"
BARR,1A,,,1,m,740,4,0901-34517,GTTO,74,,82,1,,,Y,N,N,N,,0,,,U,,,29.4,9,28,1991,,,PROB AHY BY PLUMAGE
BARR,1A,,,1,m,820,5,0901-34518,GTTO,75,,85,1,,,N,N,N,N,,1,A,,U,,,28.8,9,28,1991,,,"PROB F, PP COV = MED LESS"
BARR,1A,,,1,m,815,9,0901-34519,GRCA,89,,67,2,,,N,N,N,N,3,1,23,,U,,,41,9,29,1991,,,
BARR,1A,,,1,m,840,1,0901-34520,GRCA,89,,96,1,,,Y,N,N,N,1,2,2,,U,,,39.6,10,10,1991,,,
BARR,1A,,,1,m,710,4,0901-34521,SPTO,91,,102,2,,,N,N,N,N,3,1,21,,M,P,,40.8,10,3,1991,,,
BARR,R,,,R,m,745,5,0901-34528,SPTO,0,,0,0,0,0,,,,,,0,,,U,,,,10,10,1991,,,"BLEEDING FROM MOUTH, LET GO"
BARR,R,,,R,m,750,2,0901-34528,SPTO,89,,103,1,0,0,N,N,N,N,,1,2,,M,1,,37.8,10,6,1991,,,
BARR,R,,,R,m,750,2,0901-34528,SPTO,89,,103,1,0,0,N,N,N,N,,1,2,,M,P,,37.8,10,6,1991,,,
BARR,R,,,R,m,810,5,0901-34528,SPTO,90,,104,1,0,0,N,N,N,N,,1,21,,M,1,,40.8,10,5,1991,,,
BARR,R,,,R,m,810,5,0901-34528,SPTO,90,,104,1,0,0,N,N,N,N,,1,21,,M,P,,40.8,10,5,1991,,,
BARR,1A,,,1,m,805,4,0901-34529,GRCA,86,,91,1,,,N,N,N,N,3,1,2,,U,,,36.1,10,12,1991,,,
BARR,1A,,,1,s,1050,8,0901-34530,BUOR,103,,83,0,0,1,N,N,N,N,9,6,A,,M,P,,39.1,5,13,1993,,,
BARR,1A,,,1,p,1100,3,0901-34531,RWBL,102,,,0,1,0,N,N,N,N,9,6,A,,F,P,,,5,13,1993,,,
BARR,1A,,,1,s,750,3,0901-34532,BUOR,97,,79,3,1,0,N,N,N,N,9,5,H,,M,P,,41.1,5,17,1993,,,
BARR,1A,,,1,m,810,2,0901-34533,GRCA,91,,95,1,0,2,N,N,N,N,9,1,,,M,5,,34.4,5,17,1993,,,
BARR,1A,,,1,s,940,1,0901-34534,BUOR,93,,75,1,0,2,N,N,N,N,9,5,H,,M,5,,35.4,5,18,1993,,,
BARR,1A,,,1,m,720,2,0901-34535,BHGR,103,,82,2,2,0,N,N,N,N,9,6,A,,F,6,,51.1,5,20,1993,,,
BARR,1A,,,1,p,720,4,0901-34536,RWBL,106,,76,0,0,0,N,N,N,N,9,5,H,,F,P,,44.8,5,20,1993,,,
BARR,1A,,,1,m,1020,4,0901-34537,GTTO,75,,81,3,,,N,N,N,N,1,2,2,,U,,,9.2,9,15,1991,,,
BARR,1A,,,1,p,820,1,0901-34538,RWBL,104,,75,0,0,0,N,N,N,N,9,1,,,F,P,,,4,30,1993,,,dATE IS CORRECT
BARR,1A,,,1,s,720,,0901-34539,BUOR,102,,79,0,0,1,N,N,N,N,9,6,A,,M,P,,34.1,5,20,1993,,,
BARR,1A,,,1,s,1100,3,0901-34540,BUOR,95,,79,0,0,0,N,N,N,N,9,1,,,F,P,,37.5,5,20,1993,,,
BARR,R,,,R,s,650,4,0901-34541,BUOR,101,,0,0,0,1,N,N,N,N,,5,1,,M,1,,35,5,21,1993,,,
BARR,R,,,R,s,650,4,0901-34541,BUOR,101,,0,0,0,1,N,N,N,N,,5,H,,M,P,,35,5,21,1993,,,
BARR,1A,,,1,s,1110,4,0901-34541,BUOR,100,,78,0,0,3,N,N,N,N,9,6,A,,M,15,,34.9,5,20,1993,,,
BARR,1A,,,1,s,730,14,0901-34542,BUOR,,,,1,0,0,N,N,N,N,9,5,H,,M,P,,34.4,5,21,1993,,,
BARR,1A,,,1,s,730,10,0901-34543,BUOR,94,,,0,0,1,N,N,N,N,9,5,H,,M,P,,33.6,5,21,1993,,,
BARR,1A,,,1,s,730,15,0901-34544,BUOR,,,,0,0,1,N,N,N,N,9,6,A,,F,P,,35.6,5,21,1993,,,
BARR,1A,,,1,p,730,5,0901-34545,RWBL,,,,0,0,0,N,N,N,N,9,6,A,,F,P,,45.4,5,21,1993,,,
BARR,1A,,,1,s,800,9,0901-34546,BUOR,,,,0,0,2,N,N,N,N,9,5,H,,M,15,,36.7,5,21,1993,,,
BARR,1A,,,1,s,800,9,0901-34547,BUOR,,,,0,0,0,N,N,N,N,9,1,,,F,P,,37.1,5,21,1993,,,
BARR,1A,,,1,s,800,15,0901-34548,BUOR,,,,0,0,0,N,N,N,N,9,5,H,,M,P,,36.1,5,21,1993,,,
BARR,1A,,,1,s,900,5,0901-34549,BUOR,,,,0,0,1,N,N,N,N,9,1,,,M,P,,36.4,5,21,1993,,,
